Rosuav			|33 months Tier 3
LadyDreamTV		|via Rosuav
Xillians		|23 months!
mydearestpickle		|2 months via Rosuav and SlashLife
BoozeWash		|2 months via Rosuav and SlashLife
stardust_b1110		|10 months!
rwillits		|2 months!
Othersister		|3 months (1 via SlashLife, 1 via Xillians)
RatPixie
Maayainsane		|2 months via Cloudhun and Rosuav
IIMDProds		|2 months!
Person_in_the_MIRROR	|3 months (2 via Rosuav and SlashLife)
Ninja_For_Jesus_Bruh	|via Rosuav
TheJollyMercenaryArt	|via Rosuav
SmileBringer
수미이(soomi333)		|via SlashLife
HordeofTribbles		|via SlashLife
KattastropheArt		|via SlashLife
beauation		|2 months via SlashLife and wavingsnailbot
kanros			|via SlashLife
Armstrong365		|via SlashLife
SquibbleDesign		|via SlashLife
My_Magic_Pony		|via SlashLife
dementia_yt		|via SlashLife
gucci_plated		|via SlashLife
Wompo_			|via SlashLife
Fantasuki		|via SlashLife
buxivok123		|via SlashLife
Painted_Universe	|via SlashLife
deja_entendu03		|via SlashLife
Sotajumala666		|via SlashLife
Gamejunkey1		|via SlashLife
Soeder			|via SlashLife
kviit			|via SlashLife
Fireswamp		|via SlashLife
TheDom3ron		|via SlashLife
DeviCat			|via Rosuav
PsychoPewPew		|via Xillians
Instafluff		|via Xillians
